carteira_id,data,valor_total
7,2025-01-30,8721.13
7,2025-01-31,9051.76
10,2025-01-02,3844.57
10,2025-01-03,3842.96
10,2025-01-04,3844.78
10,2025-01-05,3846.97
10,2025-01-06,3843.61
10,2025-01-07,3841.49
10,2025-01-08,3842.12
10,2025-01-09,3841.89
10,2025-01-10,3842.25
10,2025-01-11,3840.99
10,2025-01-12,3843.06
10,2025-01-13,3844.94
10,2025-01-14,3845.45
10,2025-01-15,3848.01
10,2025-01-16,3849.29
10,2025-01-17,3848.02
10,2025-01-18,3849.12
10,2025-01-19,3847.66
10,2025-01-20,3849.73
10,2025-01-21,3850.02
10,2025-01-22,3850.05
10,2025-01-23,3849.12
10,2025-01-24,3851.86
10,2025-01-25,6625.56
10,2025-01-26,6624.8
10,2025-01-27,6624.3
10,2025-01-28,6626.72
10,2025-01-29,6628.6
10,2025-01-30,6630.63
10,2025-01-31,6632.72
11,2025-01-02,7456.27
11,2025-01-03,7455.76
11,2025-01-04,7457.12
11,2025-01-05,7460.05
11,2025-01-06,7463.45
11,2025-01-07,7467.15
11,2025-01-08,7466.6
11,2025-01-09,9374.6
11,2025-01-10,9379.56
11,2025-01-11,9379.6
11,2025-01-12,9374.55
11,2025-01-13,9370.18
11,2025-01-14,9366.81
11,2025-01-15,9370.07
11,2025-01-16,9371.68
11,2025-01-17,9375.85
11,2025-01-18,9374.78
11,2025-01-19,9376.46
11,2025-01-20,9380.33
11,2025-01-21,9379.82
11,2025-01-22,9382.9
11,2025-01-23,9380.73
11,2025-01-24,9379.97
11,2025-01-25,9379.12
11,2025-01-26,9374.45
11,2025-01-27,9377.67
11,2025-01-28,9376.4
11,2025-01-29,9377.4
11,2025-01-30,9380.59
11,2025-01-31,9383.62
12,2025-01-02,10364.13
12,2025-01-03,10366.1
12,2025-01-04,10368.27
12,2025-01-05,10376.36
12,2025-01-06,10381.73
12,2025-01-07,10384.62
12,2025-01-08,10393.25
12,2025-01-09,10388.12
12,2025-01-10,10385.83
12,2025-01-11,10382.06
12,2025-01-12,10381.07
12,2025-01-13,10374.97
12,2025-01-14,10379.3
12,2025-01-15,10379.18
12,2025-01-16,10372.59
12,2025-01-17,10368.36
12,2025-01-18,10371.02
12,2025-01-19,11631.67
12,2025-01-20,11644.45
12,2025-01-21,11662.58
12,2025-01-22,11666.16
12,2025-01-23,11661.55
12,2025-01-24,11650.29
12,2025-01-25,11653.01
12,2025-01-26,11649.44
12,2025-01-27,11648.19
12,2025-01-28,11645.79
12,2025-01-29,11646.13
12,2025-01-30,11653.5
12,2025-01-31,11655.58
8,2025-01-03,21263.85
8,2025-01-06,21468.97
8,2025-01-07,21423.39
8,2025-01-13,21332.22
8,2025-01-14,20899.2
8,2025-01-20,25241.6
8,2025-01-21,25269.62
8,2025-01-22,25493.74
8,2025-01-29,25129.54
8,2025-01-30,24905.42
8,2025-01-31,25185.57
9,2025-01-03,11509.57
9,2025-01-06,11627.34
9,2025-01-07,11600.26
9,2025-01-13,11523.71
9,2025-01-14,11584.95
9,2025-01-20,14887.18
9,2025-01-21,14747.69
9,2025-01-22,14815.89
9,2025-01-29,14910.43
9,2025-01-30,15186.32
9,2025-01-31,15111.92
13,2025-02-03,14980.25
13,2025-02-04,15032.41
13,2025-02-05,15088.77
13,2025-02-06,15005.18
13,2025-02-07,15112.63
13,2025-02-10,15148.90
14,2025-02-03,9958.44
14,2025-02-04,10012.58
14,2025-02-05,10055.73
14,2025-02-06,10008.11
14,2025-02-07,10092.66
14,2025-02-10,10115.39
15,2025-02-03,11942.33
15,2025-02-04,11988.54
15,2025-02-05,12045.10
15,2025-02-06,12002.87
15,2025-02-07,12096.11
15,2025-02-10,12125.67
16,2025-02-03,18045.26
16,2025-02-04,18120.78
16,2025-02-05,18205.34
16,2025-02-06,18110.62
16,2025-02-07,18248.93
16,2025-02-10,18315.40
17,2025-02-03,25012.50
17,2025-02-04,25045.80
17,2025-02-05,25090.10
17,2025-02-06,25055.70
17,2025-02-07,25120.95
17,2025-02-10,25165.40
18,2025-02-03,20008.40
18,2025-02-04,20055.20
18,2025-02-05,20098.75
18,2025-02-06,20044.65
18,2025-02-07,20112.30
18,2025-02-10,20166.85
19,2025-02-03,17948.22
19,2025-02-04,18035.19
19,2025-02-05,18102.67
19,2025-02-06,17990.54
19,2025-02-07,18158.27
19,2025-02-10,18210.63
20,2025-02-03,22085.44
20,2025-02-04,22148.72
20,2025-02-05,22225.11
20,2025-02-06,22100.36
20,2025-02-07,22292.58
20,2025-02-10,22340.77
21,2025-02-03,19962.31
21,2025-02-04,20044.89
21,2025-02-05,20125.16
21,2025-02-06,20005.58
21,2025-02-07,20172.93
21,2025-02-10,20240.18
22,2025-02-03,10018.75
22,2025-02-04,10085.64
22,2025-02-05,10142.08
22,2025-02-06,10032.47
22,2025-02-07,10188.59
22,2025-02-10,10233.12
23,2025-02-03,14948.52
23,2025-02-04,15035.61
23,2025-02-05,15120.77
23,2025-02-06,15002.48
23,2025-02-07,15184.69
23,2025-02-10,15232.11
24,2025-02-03,15022.33
24,2025-02-04,15108.04
24,2025-02-05,15211.57
24,2025-02-06,15096.44
24,2025-02-07,15252.37
24,2025-02-10,15305.81
