;;;;;;;
Setor;Petroleo Brasileiro;B3;;;Setor;Híbrido;B3
Preço atual; R$ 32,18 ;B3;;;Preço atual; R$ 9,66 ;B3 
P/L;5;Fundamentus;;;P/VP;1,02;Fundamentus
ROE;19,38%;Fundamentus;;;ROE;N/A;Fundamentus
Dívida/EBITDA;1,81;Fundamentus;;;Dívida/EBITDA;N/A;Fundamentus
Dividend Yield ;17,38%;StatusInvest;;;Dividend Yield ;12,15%%;Investidor10
Proventos mensal;0,13;Investidor10;;;Proventos mensal;0,1;Investidor10
Dividend Yield Histórico;17,98%;Investidor10;;;Dividend Yield Histórico;11,93%;Investidor10
;;;;;;;
;;;;;;;
;codigo_ativo;;;;;codigo_ativo;
;BPAC11;;;;;HGLG11;
;;;;;;;
Tipo;Valor (média anual);Fonte;;;Tipo;Valor (média anual);Fonte
Nome;Banco BTG PACTUAL;B3;;;Nome;Pátria Log;B3
CNPJ;30.306.294/0001-45;B3;;;CNPJ;11.728.688/0001-47;B3
Setor;Banco;B3;;;Setor;Logística/ Índustria/ Galpões;B3
Preço atual; R$ 50,59 ;B3;;;Preço atual; R$ 158,10 ;B3 
P/L;14,42;Fundamentus;;;P/VP;0,97;Fundamentus
ROE;21,02%;Fundamentus;;;ROE;N/A;Fundamentus
Dívida/EBITDA;N/A;Fundamentus;;;Dívida/EBITDA;N/A;Fundamentus
Dividend Yield;2,10%;Investidor10;;;Dividend Yield ;8,36%;Investidor10
Proventos mensal;0,60400687;Investidor10;;;Proventos mensal;1,1;Investidor10
Dividend Yield Histórico;2,09%;Investidor10;;;Dividend Yield Histórico;8,29%;Investidor10
;;;;;;;
;;;;;;;
;;;;;;codigo_ativo;
;;;;;;VGIR1;
;;;;;;;
;;;;;Tipo;Valor (média anual);Fonte
;;;;;Nome;VALORA RE III;B3
;;;;;CNPJ;29.852.732/0001-91;B3
;;;;;Setor;Titulos e valores mobiliários;B3
;;;;;Preço atual; R$ 9,49 ;B3 
;;;;;P/VP;0,97;Fundamentus
;;;;;ROE;N/A;Fundamentus
;;;;;Dívida/EBITDA;N/A;Fundamentus
;;;;;Dividend Yield ;15,11%;Investidor10
;;;;;Proventos mensal;0,13;Investidor10
;;;;;Dividend Yield Histórico;13,80%;Investidor10
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;codigo_ativo;
;;;;;;RBRY11;
;;;;;;;
;;;;;Tipo;Valor (média anual);Fonte
;;;;;Nome;RBR Private Crédito Ímobiliário;B3
;;;;;CNPJ;30.166.700/0001-11;B3
;;;;;Setor;Títulos e Valores Mobiliários;B3
;;;;;Preço atual; R$ 96,39 ;B3 
;;;;;P/VP;0,97;Fundamentus
;;;;;ROE;N/A;Fundamentus
;;;;;Dívida/EBITDA;N/A;Fundamentus
;;;;;Dividend Yield ;13,49%;Investidor10
;;;;;Proventos mensal;1,25;Investidor10
;;;;;Dividend Yield Histórico;13,07%;Investidor10
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;codigo_ativo;
;;;;;;XPML11;
;;;;;;;
;;;;;Tipo;Valor (média anual);Fonte
;;;;;Nome;XP Malls;B3
;;;;;CNPJ;28.757.546/0001-00;B3
;;;;;Setor;Shoppings / Varejo;B3
;;;;;Preço atual; R$ 106,59 ;B3 
;;;;;P/VP;0,95;Fundamentus
;;;;;ROE;N/A;Fundamentus
;;;;;Dívida/EBITDA;N/A;Fundamentus
;;;;;Dividend Yield ;10,35%;Investidor10
;;;;;Proventos mensal;0,92;Investidor10
;;;;;Dividend Yield Histórico;9,08%;Investidor10
